tool_name	source_chunk_count	dense_vector_chunk_count	source_coverage_score	review_status	has_legacy_embedding	legacy_quality_flag	benchmark_chunk_count	publication_chunk_count	toolkit_module_required	quality_flags
BREM-SC	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BRIE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BSDE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BTR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BUSseq	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BZINB	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BackSPIN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BarCounter	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BarMixer	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BasisVAE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BatchAIF	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
BatchBench	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BayesEATS	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BayesPrism	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Beyondcell	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
Bfimpute	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BiGCN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BigSur	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BingleSeq	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BioTIP	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Biomodelling	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
Bisque	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BraCeR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
BranchedGP	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CACIMAR	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
CACTUS	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CAISC	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CALISTA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CAMLU	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CAPITAL	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CARDAMOM	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
CASCC	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CASi	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CAbiNet	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CCLONE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CCNMF	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CCPE	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CCPlotR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CCSF	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CCSN	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
CDI	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CDR-g	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CDSKNN	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CEFCON	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CELLULAR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CHAI	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CHETAH	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CHOIR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CIA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CIARA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CIDER	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CIDR	0	0	0.0	low_source_coverage	false	missing_embedding	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_missing,structured_profile_missing
CIForm	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CIMLA	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CINEMA-OT	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CIPR	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CITEViz	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
CITEseqCount	0	0	0.0	low_source_coverage	true	llm_profile_embedding_review_required	0	0	false	low_source_coverage,dense_embedding_missing,legacy_embedding_present_recall_only,structured_profile_missing
